Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,62
design__inferred_latch__count,0
design__instance__count,157056
design__instance__area,4.71598E+6
design__instance_unmapped__count,0
synthesis__check_error__count,332
design__max_slew_violation__count__corner:nom_tt_025C_5v00,1716
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,160
design__max_cap_violation__count__corner:nom_tt_025C_5v00,1137
power__internal__total,0.04402201995253563
power__switching__total,0.030719302594661713
power__leakage__total,0.00001824385799409356
power__total,0.07475956529378891
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.40067858498518794
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.4052655825634584
timing__hold__ws__corner:nom_tt_025C_5v00,0.4403908473655351
timing__setup__ws__corner:nom_tt_025C_5v00,112.61655038375415
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.440391
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,234.205170
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,17247
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,160
design__max_cap_violation__count__corner:nom_ss_125C_4v50,1169
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.4723104263600704
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.4788356513495483
timing__hold__ws__corner:nom_ss_125C_4v50,1.0039040993765098
timing__setup__ws__corner:nom_ss_125C_4v50,37.70578977993048
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.003904
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,220.768646
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,309
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,160
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,1108
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.37060019990676346
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.37421963809170866
timing__hold__ws__corner:nom_ff_n40C_5v50,0.18625956859618623
timing__setup__ws__corner:nom_ff_n40C_5v50,145.74486741105642
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.186260
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,240.173859
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,20748
design__max_fanout_violation__count,160
design__max_cap_violation__count,1543
clock__skew__worst_hold,-0.3499338418080915
clock__skew__worst_setup,0.3536947224103742
timing__hold__ws,0.18337243353899477
timing__setup__ws,32.26607339307147
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.183372
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,220.196716
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2200.0 2200.0
design__core__bbox,6.72 20.16 2192.96 2177.28
design__io,543
design__die__area,4.84E+6
design__core__area,4.71598E+6
design__instance__count__stdcell,76640
design__instance__area__stdcell,2.18956E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.464286
design__instance__utilization__stdcell,0.464286
design__rows,428
design__rows:GF018hv5v_green_sc9,428
design__sites,1670912
design__sites:GF018hv5v_green_sc9,1670912
design__instance__count__class:tie_cell,150
design__instance__area__class:tie_cell,1693.44
design__instance__count__class:buffer,11
design__instance__area__class:buffer,186.278
design__instance__count__class:inverter,2293
design__instance__area__class:inverter,25887.1
design__instance__count__class:sequential_cell,7037
design__instance__area__class:sequential_cell,556114
design__instance__count__class:multi_input_combinational_cell,35539
design__instance__area__class:multi_input_combinational_cell,980222
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,856
design__instance__area__class:endcap_cell,4831.95
design__instance__count__class:tap_cell,23871
design__instance__area__class:tap_cell,134747
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,541
design__io__hpwl,172389694
flow__warnings__count:GRT-0281,4
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,10.08
design__instance__displacement__mean,0
design__instance__displacement__max,5.04
route__wirelength__estimated,3.57583E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,6561
design__instance__area__class:timing_repair_buffer,445855
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,208
design__instance__area__class:clock_buffer,36397.7
design__instance__count__class:clock_inverter,114
design__instance__area__class:clock_inverter,3629.61
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,445003
global_route__wirelength,5939472
antenna__violating__nets,177
antenna__violating__pins,204
route__antenna_violation__count,177
flow__warnings__count:EST-0026,1001
route__net,52141
route__net__special,2
route__drc_errors__iter:0,17362
route__wirelength__iter:0,4502102
route__drc_errors__iter:1,6492
route__wirelength__iter:1,4483802
route__drc_errors__iter:2,5755
route__wirelength__iter:2,4478004
route__drc_errors__iter:3,318
route__wirelength__iter:3,4475358
route__drc_errors__iter:4,29
route__wirelength__iter:4,4475253
route__drc_errors__iter:5,0
route__wirelength__iter:5,4475235
route__drc_errors,0
route__wirelength,4475235
route__vias,403557
route__vias__singlecut,403557
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,313
design__critical_disconnected_pin__count,0
route__wirelength__max,3718.55
design__instance__count__class:fill_cell,80416
